V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
8343,TOYOTA,COROLLA,WHITE,Hatchback,Hybrid,TOYOTACOROLLA3 Years OldPETROLELECTRICHYBRID,TOYOTACOROLLA3 Years Old,TOYOTACOROLLA,ICON TECH,20/07/2021,TradeZone,AUTO,14100,37.166667,1,27982,888.3240000000001
988,VAUXHALL,MOKKA X,BLACK,SUV,Petrol,VAUXHALLMOKKA X5 Years OldPETROL,VAUXHALLMOKKA X5 Years Old,VAUXHALLMOKKA X,ACTIVE,26/11/2018,TradeZone,MANUAL,5475,70.3,2,56780,803.48
2069,VOLKSWAGEN,GOLF,GREY,Hatchback,Petrol,VOLKSWAGENGOLF4 Years OldPETROL,VOLKSWAGENGOLF4 Years Old,VOLKSWAGENGOLF,GT EDITION,06/01/2020,PARTEX,MANUAL,11050,60.966667,4,60367,579.702
6933,VAUXHALL,CROSSLAND X,GREY,SUV,Petrol,VAUXHALLCROSSLAND X3 Years OldPETROL,VAUXHALLCROSSLAND X3 Years Old,VAUXHALLCROSSLAND X,GRIFFIN,31/12/2020,TradeZone,MANUAL,9525,41.5,1,21584,592.9399999999999
6913,VOLKSWAGEN,ID.3,GREY,Hatchback,Electric,VOLKSWAGENID.33 Years OldELECTRIC,VOLKSWAGENID.33 Years Old,VOLKSWAGENID.3,LIFE,21/07/2021,TradeZone,AUTO,13600,39.133333,1,28160,1199.36
3813,VOLKSWAGEN,POLO,WHITE,Hatchback,Petrol,VOLKSWAGENPOLO3 Years OldPETROL,VOLKSWAGENPOLO3 Years Old,VOLKSWAGENPOLO,BEATS,31/07/2021,TradeZone,MANUAL,12500,37.766667,1,23755,615.881
7348,TOYOTA,AYGO,RED,Hatchback,Petrol,TOYOTAAYGO5 Years OldPETROL,TOYOTAAYGO5 Years Old,TOYOTAAYGO,X-PLAY,16/02/2019,PARTEX,MANUAL,6325,73.733333,2,27575,1045.85
4954,VAUXHALL,CORSA,BLACK,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,SE PREMIUM,31/03/2020,TradeZone,MANUAL,9075,54.9,1,23314,431.27
2095,VAUXHALL,CORSA,BLACK,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,SE PREMIUM,31/03/2020,TradeZone,MANUAL,10000,52.3,1,15399,377.23699999999997
4114,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,ELITE NAV PREMIUM,31/03/2020,TradeZone,MANUAL,9600,60.166667,2,31358,1509.32
6117,VOLKSWAGEN,POLO,BLUE,Hatchback,Petrol,VOLKSWAGENPOLO3 Years OldPETROL,VOLKSWAGENPOLO3 Years Old,VOLKSWAGENPOLO,MATCH,31/03/2021,TradeZone,MANUAL,12050,41.3,1,27027,854.66
9523,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE,30/04/2021,TradeZone,MANUAL,9025,45.5,1,20814,297.649
4715,KIA,SPORTAGE,BLACK,SUV,Petrol,KIASPORTAGE4 Years OldPETROL,KIASPORTAGE4 Years Old,KIASPORTAGE,1,12/12/2019,PARTEX,MANUAL,10350,57.733333,3,51075,283.43399999999997
2491,VAUXHALL,CORSA,ORANGE,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SRI NAV PREMIUM,30/09/2020,PARTEX,MANUAL,10950,45.866667,3,15775,784.7099999999999
1646,VOLKSWAGEN,TIGUAN,WHITE,SUV,Diesel,VOLKSWAGENTIGUAN2 Years OldDIESEL,VOLKSWAGENTIGUAN2 Years Old,VOLKSWAGENTIGUAN,LIFE,30/09/2022,TradeZone,SEMI-AUTO,21150,20.233333,1,38807,362.77
7511,VAUXHALL,CORSA-E,WHITE,Hatchback,Electric,VAUXHALLCORSA-E3 Years OldELECTRIC,VAUXHALLCORSA-E3 Years Old,VAUXHALLCORSA-E,ELITE NAV,30/06/2020,OTHER,AUTO,10650,47.1,1,22563,619.269
5882,VAUXHALL,CORSA,WHITE,Hatchback,Petrol,VAUXHALLCORSA2 Years OldPETROL,VAUXHALLCORSA2 Years Old,VAUXHALLCORSA,SE EDITION,06/05/2022,TradeZone,MANUAL,10350,25.633333,1,16301,317.98
2903,BMW,2 SERIES ACTIVE TOURER,SILVER,Hatchback,Diesel,BMW2 SERIES ACTIVE TOURER8 Years OldDIESEL,BMW2 SERIES ACTIVE TOURER8 Years Old,BMW2 SERIES ACTIVE TOURER,LUXURY,19/11/2016,TradeZone,SEMI-AUTO,8725,99.233333,3,37575,667.31
5666,NISSAN,JUKE,BLACK,SUV,Diesel,NISSANJUKE8 Years OldDIESEL,NISSANJUKE8 Years Old,NISSANJUKE,N-CONNECTA,31/10/2016,PARTEX,MANUAL,4700,100.2,3,64605,686.246
5252,HYUNDAI,I10,BLUE,Hatchback,Petrol,HYUNDAII106 Years OldPETROL,HYUNDAII106 Years Old,HYUNDAII10,SE,16/02/2018,TradeZone,MANUAL,6025,80.4,2,11969,366.27
1284,VAUXHALL,CORSA,RED,Hatchback,Petrol,VAUXHALLCORSA1 Years OldPETROL,VAUXHALLCORSA1 Years Old,VAUXHALLCORSA,ULTIMATE,17/02/2023,OTHER,AUTO,17000,16.9,2,2100,621.23
3186,MERCEDES-BENZ,C-CLASS,BLACK,Estate,Diesel,MERCEDES-BENZC-CLASS5 Years OldDIESEL,MERCEDES-BENZC-CLASS5 Years Old,MERCEDES-BENZC-CLASS,AMG LINE,20/08/2019,TradeZone,SEMI-AUTO,14950,68.233333,1,74738,239.94
4822,VOLKSWAGEN,POLO,BLACK,Hatchback,Petrol,VOLKSWAGENPOLO3 Years OldPETROL,VOLKSWAGENPOLO3 Years Old,VOLKSWAGENPOLO,BEATS,31/07/2021,TradeZone,MANUAL,10950,42.433333,1,38077,480.35999999999996
6556,VOLKSWAGEN,POLO,RED,Hatchback,Petrol,VOLKSWAGENPOLO5 Years OldPETROL,VOLKSWAGENPOLO5 Years Old,VOLKSWAGENPOLO,BEATS,24/06/2019,TradeZone,MANUAL,9675,61.733333,1,47365,444.58
1845,VOLKSWAGEN,GOLF,BLACK,Hatchback,Diesel,VOLKSWAGENGOLF4 Years OldDIESEL,VOLKSWAGENGOLF4 Years Old,VOLKSWAGENGOLF,MATCH EDITION,03/07/2020,TradeZone,SEMI-AUTO,15850,49.8,1,20708,344.70099999999996
9552,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA5 Years OldPETROL,VAUXHALLCORSA5 Years Old,VAUXHALLCORSA,ELITE NAV PREMIUM,31/03/2020,TradeZone,MANUAL,9950,60.4,2,27315,346.68
8018,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE PREMIUM,31/03/2021,TradeZone,MANUAL,9700,37.966667,1,29514,244.91
4432,VOLKSWAGEN,T-CROSS,SILVER,SUV,Petrol,VOLKSWAGENT-CROSS4 Years OldPETROL,VOLKSWAGENT-CROSS4 Years Old,VOLKSWAGENT-CROSS,SEL,31/03/2021,TradeZone,MANUAL,13250,44.966667,1,31660,338.64
7511,VOLKSWAGEN,T-CROSS,BLUE,SUV,Petrol,VOLKSWAGENT-CROSS3 Years OldPETROL,VOLKSWAGENT-CROSS3 Years Old,VOLKSWAGENT-CROSS,SEL,31/03/2021,TradeZone,MANUAL,14300,45.8,1,10334,748.8100000000001
4531,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA2 Years OldPETROL,VAUXHALLCORSA2 Years Old,VAUXHALLCORSA,SE EDITION,20/04/2022,TradeZone,AUTO,12000,35,1,14586,387.42
8245,CITROEN,GRAND C4 PICASSO,BEIGE,MPV,Diesel,CITROENGRAND C4 PICASSO7 Years OldDIESEL,CITROENGRAND C4 PICASSO7 Years Old,CITROENGRAND C4 PICASSO,FLAIR,16/10/2017,TradeZone,SEMI-AUTO,9900,89.633333,4,44282,18.4
6740,VAUXHALL,CORSA-E,BLUE,Hatchback,Electric,VAUXHALLCORSA-E3 Years OldELECTRIC,VAUXHALLCORSA-E3 Years Old,VAUXHALLCORSA-E,ELITE NAV PREMIUM,30/09/2021,TradeZone,AUTO,9950,36.066667,1,25004,627.52
2792,VOLKSWAGEN,GOLF,GREY,Hatchback,Diesel,VOLKSWAGENGOLF5 Years OldDIESEL,VOLKSWAGENGOLF5 Years Old,VOLKSWAGENGOLF,MATCH EDITION,05/12/2019,TradeZone,MANUAL,9475,60.2,1,68639,534.562
3307,VOLKSWAGEN,T-CROSS,BLACK,SUV,Petrol,VOLKSWAGENT-CROSS4 Years OldPETROL,VOLKSWAGENT-CROSS4 Years Old,VOLKSWAGENT-CROSS,SEL,31/12/2020,TradeZone,MANUAL,11850,50.666667,1,42823,404.45799999999997
4643,VAUXHALL,CORSA,WHITE,Hatchback,Petrol,VAUXHALLCORSA5 Years OldPETROL,VAUXHALLCORSA5 Years Old,VAUXHALLCORSA,GRIFFIN,31/01/2019,TradeZone,MANUAL,5700,65.3,2,35591,1540.76
1539,VAUXHALL,CORSA-E,BLUE,Hatchback,Electric,VAUXHALLCORSA-E3 Years OldELECTRIC,VAUXHALLCORSA-E3 Years Old,VAUXHALLCORSA-E,ELITE NAV PREMIUM,31/07/2021,TradeZone,AUTO,9975,39.8,1,27064,1285.445
8618,SEAT,LEON,GREY,Estate,Petrol,SEATLEON7 Years OldPETROL,SEATLEON7 Years Old,SEATLEON,FR TECHNOLOGY,12/05/2017,PARTEX,MANUAL,9300,94.533333,2,36093,545.02
2218,VAUXHALL,CORSA,BLACK,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,SRI PREMIUM,31/03/2020,TradeZone,MANUAL,8400,50.866667,2,48992,460.43
6729,VAUXHALL,CORSA,BLACK,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,ELITE NAV PREMIUM,31/03/2020,TradeZone,MANUAL,11200,54.133333,2,14452,785.384
2470,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE PREMIUM,31/03/2021,TradeZone,MANUAL,10000,37.933333,1,24077,429.96
8056,VOLKSWAGEN,GOLF,BLACK,Estate,Petrol,VOLKSWAGENGOLF3 Years OldPETROL,VOLKSWAGENGOLF3 Years Old,VOLKSWAGENGOLF,R-LINE,31/03/2022,TradeZone,SEMI-AUTO,16400,35.933333,1,56660,246.17
5647,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA2 Years OldPETROL,VAUXHALLCORSA2 Years Old,VAUXHALLCORSA,SE EDITION,31/03/2022,TradeZone,MANUAL,9175,34.2,1,24111,590.28
933,CITROEN,C4 PICASSO,RED,MPV,Petrol,CITROENC4 PICASSO7 Years OldPETROL,CITROENC4 PICASSO7 Years Old,CITROENC4 PICASSO,FEEL,18/11/2016,TradeZone,AUTO,7825,91.933333,2,24359,947.492
5156,BMW,3 SERIES,BLACK,Saloon,Diesel,BMW3 SERIES6 Years OldDIESEL,BMW3 SERIES6 Years Old,BMW3 SERIES,SPORT,26/05/2018,TradeZone,SEMI-AUTO,12100,82,2,38164,253.957
4816,AUDI,A5,BLUE,Coupe,Petrol,AUDIA55 Years OldPETROL,AUDIA55 Years Old,AUDIA5,S LINE,29/03/2019,TradeZone,SEMI-AUTO,16000,66.7,2,27029,684.51
3289,VAUXHALL,CORSA-E,ORANGE,Hatchback,Electric,VAUXHALLCORSA-E4 Years OldELECTRIC,VAUXHALLCORSA-E4 Years Old,VAUXHALLCORSA-E,ELITE NAV,30/06/2020,TradeZone,AUTO,8525,53.666667,1,37026,375.09
9205,VOLKSWAGEN,T-CROSS,GREY,SUV,Petrol,VOLKSWAGENT-CROSS2 Years OldPETROL,VOLKSWAGENT-CROSS2 Years Old,VOLKSWAGENT-CROSS,SEL,30/06/2022,TradeZone,MANUAL,16950,24.3,1,7301,391.2
5451,VOLKSWAGEN,T-ROC,BLACK,SUV,Petrol,VOLKSWAGENT-ROC4 Years OldPETROL,VOLKSWAGENT-ROC4 Years Old,VOLKSWAGENT-ROC,R-LINE,30/11/2020,TradeZone,SEMI-AUTO,17550,49.333333,1,48304,251.75
3792,VOLKSWAGEN,T-ROC,BLUE,SUV,Petrol,VOLKSWAGENT-ROC4 Years OldPETROL,VOLKSWAGENT-ROC4 Years Old,VOLKSWAGENT-ROC,R-LINE,30/11/2020,TradeZone,SEMI-AUTO,19000,48.366667,1,35983,406.21
4579,VOLKSWAGEN,T-CROSS,BLUE,SUV,Petrol,VOLKSWAGENT-CROSS4 Years OldPETROL,VOLKSWAGENT-CROSS4 Years Old,VOLKSWAGENT-CROSS,SEL,07/01/2021,TradeZone,AUTO,15350,48.233333,1,20805,822.51
653,VAUXHALL,CROSSLAND X,BLUE,SUV,Petrol,VAUXHALLCROSSLAND X3 Years OldPETROL,VAUXHALLCROSSLAND X3 Years Old,VAUXHALLCROSSLAND X,GRIFFIN,31/12/2020,TradeZone,MANUAL,10300,41.766667,1,8474,292.716
9375,VAUXHALL,CORSA-E,BLACK,Hatchback,Electric,VAUXHALLCORSA-E3 Years OldELECTRIC,VAUXHALLCORSA-E3 Years Old,VAUXHALLCORSA-E,ELITE NAV PREMIUM,31/07/2021,TradeZone,AUTO,10050,41.166667,1,26053,408.63
6879,NISSAN,QASHQAI,BLUE,SUV,Petrol,NISSANQASHQAI5 Years OldPETROL,NISSANQASHQAI5 Years Old,NISSANQASHQAI,N-CONNECTA,29/01/2019,TradeZone,MANUAL,11400,70.2,2,35644,391.697
1722,VOLKSWAGEN,GOLF,BLACK,Estate,Diesel,VOLKSWAGENGOLF3 Years OldDIESEL,VOLKSWAGENGOLF3 Years Old,VOLKSWAGENGOLF,LIFE,17/02/2022,TradeZone,MANUAL,16550,37.233333,2,26397,260.04
7710,NISSAN,QASHQAI,BLACK,SUV,Diesel,NISSANQASHQAI6 Years OldDIESEL,NISSANQASHQAI6 Years Old,NISSANQASHQAI,N-CONNECTA,31/03/2018,TradeZone,MANUAL,12550,81.966667,2,11120,573.412
3819,VOLKSWAGEN,POLO,SILVER,Hatchback,Petrol,VOLKSWAGENPOLO5 Years OldPETROL,VOLKSWAGENPOLO5 Years Old,VOLKSWAGENPOLO,SE,02/03/2019,TradeZone,MANUAL,9100,66.166667,1,50658,422.68
3412,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA5 Years OldPETROL,VAUXHALLCORSA5 Years Old,VAUXHALLCORSA,ELITE NAV PREMIUM,31/03/2020,TradeZone,MANUAL,10350,60.5,2,21075,540.77
3175,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,ELITE NAV PREMIUM,31/03/2020,TradeZone,MANUAL,10250,50.9,2,27435,273.51
4823,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,ELITE NAV PREMIUM,31/03/2020,TradeZone,MANUAL,10400,58.433333,2,20950,659.359
8792,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE PREMIUM,31/03/2021,OTHER,MANUAL,10000,37.966667,1,24990,463.418
7644,VAUXHALL,CORSA,BLACK,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE PREMIUM,31/03/2021,TradeZone,MANUAL,10000,39.2,2,24494,584.6899999999999
1269,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE PREMIUM,31/03/2021,TradeZone,MANUAL,10450,38.666667,1,17177,1027.57
3573,NISSAN,QASHQAI,SILVER,SUV,Diesel,NISSANQASHQAI7 Years OldDIESEL,NISSANQASHQAI7 Years Old,NISSANQASHQAI,TEKNA,30/09/2017,TradeZone,MANUAL,8850,84.9,3,57270,365.59
5930,AUDI,Q3,WHITE,SUV,Diesel,AUDIQ35 Years OldDIESEL,AUDIQ35 Years Old,AUDIQ3,SPORT,11/11/2019,TradeZone,SEMI-AUTO,16400,57.2,1,70184,356.753
7654,FORD,FOCUS,BLUE,Hatchback,Petrol,FORDFOCUS3 Years OldPETROL,FORDFOCUS3 Years Old,FORDFOCUS,ST-LINE EDITION,28/09/2021,TradeZone,MANUAL,15150,33.2,4,18820,859.1999999999999
1532,VOLVO,XC90,BLACK,SUV,Hybrid,VOLVOXC905 Years OldPETROLPLUGINELECTRICHYBRID,VOLVOXC905 Years Old,VOLVOXC90,R DESIGN,12/07/2019,TradeZone,SEMI-AUTO,27650,67.166667,1,45778,56.4
7243,VOLKSWAGEN,T-CROSS,GREY,SUV,Petrol,VOLKSWAGENT-CROSS3 Years OldPETROL,VOLKSWAGENT-CROSS3 Years Old,VOLKSWAGENT-CROSS,S,01/06/2021,TradeZone,MANUAL,12400,42.233333,1,32722,696.3000000000001
3209,JAGUAR,E-PACE,BLACK,SUV,Diesel,JAGUARE-PACE5 Years OldDIESEL,JAGUARE-PACE5 Years Old,JAGUARE-PACE,R-DYNAMIC,18/11/2019,TradeZone,MANUAL,13400,61.033333,1,46624,382.38
9967,VAUXHALL,INSIGNIA GRAND SPORT,RED,Hatchback,Diesel,VAUXHALLINSIGNIA GRAND SPORT6 Years OldDIESEL,VAUXHALLINSIGNIA GRAND SPORT6 Years Old,VAUXHALLINSIGNIA GRAND SPORT,DESIGN,29/01/2018,PARTEX,MANUAL,5100,80.6,2,65266,509.33
8241,VOLKSWAGEN,TIGUAN,SILVER,SUV,Petrol,VOLKSWAGENTIGUAN5 Years OldPETROL,VOLKSWAGENTIGUAN5 Years Old,VOLKSWAGENTIGUAN,R-LINE TECH,07/06/2019,TradeZone,SEMI-AUTO,20150,61.066667,2,30875,1403.796
1826,VAUXHALL,CORSA-E,BLACK,Hatchback,Electric,VAUXHALLCORSA-E2 Years OldELECTRIC,VAUXHALLCORSA-E2 Years Old,VAUXHALLCORSA-E,ELITE NAV PREMIUM,31/07/2021,TradeZone,AUTO,11450,34.1,1,17325,912.197
5153,VAUXHALL,CORSA-E,BLACK,Hatchback,Electric,VAUXHALLCORSA-E3 Years OldELECTRIC,VAUXHALLCORSA-E3 Years Old,VAUXHALLCORSA-E,ELITE NAV PREMIUM,31/07/2021,TradeZone,AUTO,11200,40.433333,4,9408,1148.83
5813,VAUXHALL,CORSA-E,ORANGE,Hatchback,Electric,VAUXHALLCORSA-E3 Years OldELECTRIC,VAUXHALLCORSA-E3 Years Old,VAUXHALLCORSA-E,ELITE NAV PREMIUM,31/08/2021,TradeZone,AUTO,10200,40.866667,1,23979,447.29
8216,NISSAN,QASHQAI,BLACK,SUV,Petrol,NISSANQASHQAI6 Years OldPETROL,NISSANQASHQAI6 Years Old,NISSANQASHQAI,TEKNA,29/01/2019,PARTEX,MANUAL,11400,73.366667,2,40243,677.81
6497,TOYOTA,C-HR,SILVER,SUV,Hybrid,TOYOTAC-HR4 Years OldPETROLELECTRICHYBRID,TOYOTAC-HR4 Years Old,TOYOTAC-HR,DESIGN,24/06/2020,TradeZone,AUTO,16300,50.7,1,23472,921.794
6962,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA5 Years OldPETROL,VAUXHALLCORSA5 Years Old,VAUXHALLCORSA,ELITE NAV PREMIUM,31/03/2020,TradeZone,MANUAL,10500,60.066667,2,19034,1127.29
2641,HYUNDAI,I20,WHITE,Hatchback,Petrol,HYUNDAII201 Years OldPETROL,HYUNDAII201 Years Old,HYUNDAII20,SE CONNECT,24/04/2021,PARTEX,MANUAL,15950,42.333333,2,12694,613.34
1989,VOLKSWAGEN,T-CROSS,BLACK,SUV,Petrol,VOLKSWAGENT-CROSS3 Years OldPETROL,VOLKSWAGENT-CROSS3 Years Old,VOLKSWAGENT-CROSS,SEL,30/04/2021,TradeZone,AUTO,12500,38.433333,1,78526,672.17
4145,AUDI,A3,BLACK,Hatchback,Petrol,AUDIA32 Years OldPETROL,AUDIA32 Years Old,AUDIA3,SPORT,14/04/2022,TradeZone,SEMI-AUTO,21100,33.3,2,10868,734.696
4450,NISSAN,QASHQAI,WHITE,SUV,Diesel,NISSANQASHQAI7 Years OldDIESEL,NISSANQASHQAI7 Years Old,NISSANQASHQAI,N-CONNECTA,30/09/2017,TradeZone,MANUAL,7375,84.433333,2,74493,325.4
6492,MERCEDES-BENZ,CLA,BLACK,Estate,Petrol,MERCEDES-BENZCLA5 Years OldPETROL,MERCEDES-BENZCLA5 Years Old,MERCEDES-BENZCLA,AMG LINE,29/10/2019,TradeZone,SEMI-AUTO,17350,61.1,3,63776,619.364
3655,VAUXHALL,INSIGNIA GRAND SPORT,BLACK,Hatchback,Diesel,VAUXHALLINSIGNIA GRAND SPORT3 Years OldDIESEL,VAUXHALLINSIGNIA GRAND SPORT3 Years Old,VAUXHALLINSIGNIA GRAND SPORT,SE NAV,14/10/2021,TradeZone,MANUAL,11150,32.133333,1,43594,369.264
9726,VOLKSWAGEN,TIGUAN,GREY,SUV,Diesel,VOLKSWAGENTIGUAN1 Years OldDIESEL,VOLKSWAGENTIGUAN1 Years Old,VOLKSWAGENTIGUAN,LIFE,31/10/2022,TradeZone,MANUAL,21400,19.466667,1,16718,295.927
7187,NISSAN,JUKE,GREY,SUV,Diesel,NISSANJUKE6 Years OldDIESEL,NISSANJUKE6 Years Old,NISSANJUKE,N-CONNECTA,10/05/2018,TradeZone,MANUAL,8675,73.2,3,26528,969.02
3888,VAUXHALL,CORSA-E,BLUE,Hatchback,Electric,VAUXHALLCORSA-E2 Years OldELECTRIC,VAUXHALLCORSA-E2 Years Old,VAUXHALLCORSA-E,ELITE PREMIUM,30/04/2022,TradeZone,AUTO,10950,26.566667,1,18161,257.64
4358,HYUNDAI,KONA,GREY,SUV,Hybrid,HYUNDAIKONA1 Years OldPETROLELECTRICHYBRID,HYUNDAIKONA1 Years Old,HYUNDAIKONA,PREMIUM,26/08/2022,TradeZone,AUTO,17950,21.233333,2,12292,1106.276
6682,SEAT,LEON,PURPLE,Hatchback,Petrol,SEATLEON6 Years OldPETROL,SEATLEON6 Years Old,SEATLEON,FR TECHNOLOGY,11/11/2017,TradeZone,MANUAL,8075,79,1,48000,685.1
1901,VOLKSWAGEN,T-CROSS,BLUE,SUV,Petrol,VOLKSWAGENT-CROSS4 Years OldPETROL,VOLKSWAGENT-CROSS4 Years Old,VOLKSWAGENT-CROSS,SEL,16/12/2020,TradeZone,MANUAL,13300,49.433333,1,16642,323.068
5337,VAUXHALL,MOKKA X,ORANGE,SUV,Diesel,VAUXHALLMOKKA X4 Years OldDIESEL,VAUXHALLMOKKA X4 Years Old,VAUXHALLMOKKA X,DESIGN NAV,26/11/2019,TradeZone,SEMI-AUTO,11500,54.1,2,31838,513.84
6929,BMW,1 SERIES,WHITE,Hatchback,Petrol,BMW1 SERIES2 Years OldPETROL,BMW1 SERIES2 Years Old,BMW1 SERIES,SPORT,26/01/2022,TradeZone,MANUAL,17200,29.666667,1,15945,272.49
9086,AUDI,A3,GREY,Hatchback,Petrol,AUDIA35 Years OldPETROL,AUDIA35 Years Old,AUDIA3,SE TECHNIK,29/06/2019,TradeZone,MANUAL,13550,62.5,2,18470,286.73
6157,MINI,HATCHBACK,RED,Hatchback,Petrol,MINIHATCHBACK5 Years OldPETROL,MINIHATCHBACK5 Years Old,MINIHATCHBACK,COOPER SPORT,17/06/2019,TradeZone,MANUAL,12250,62.633333,1,39209,1087.65
8685,HYUNDAI,I20,BRONZE,Hatchback,Petrol,HYUNDAII202 Years OldPETROL,HYUNDAII202 Years Old,HYUNDAII20,SE CONNECT,30/09/2022,TradeZone,MANUAL,13100,22.5,1,10897,1840.22
5820,MERCEDES-BENZ,E-CLASS,GREY,Convertible,Diesel,MERCEDES-BENZE-CLASS5 Years OldDIESEL,MERCEDES-BENZE-CLASS5 Years Old,MERCEDES-BENZE-CLASS,AMG LINE,11/06/2019,TradeZone,SEMI-AUTO,17500,61,2,67172,1057.23
5169,KIA,SPORTAGE,GREY,SUV,Petrol,KIASPORTAGE6 Years OldPETROL,KIASPORTAGE6 Years Old,KIASPORTAGE,EDITION 25,12/12/2018,PARTEX,MANUAL,12600,71.533333,,43506,947.35
6840,FORD,FOCUS,BLUE,Hatchback,Diesel,FORDFOCUS5 Years OldDIESEL,FORDFOCUS5 Years Old,FORDFOCUS,TITANIUM,05/06/2019,TradeZone,AUTO,11500,60.733333,1,20410,573.67
6445,AUDI,A3,BLACK,Hatchback,Petrol,AUDIA33 Years OldPETROL,AUDIA33 Years Old,AUDIA3,S LINE,31/03/2021,TradeZone,SEMI-AUTO,18200,40.9,1,43146,377.55
4603,VOLKSWAGEN,POLO,BLACK,Hatchback,Petrol,VOLKSWAGENPOLO5 Years OldPETROL,VOLKSWAGENPOLO5 Years Old,VOLKSWAGENPOLO,SE,19/12/2018,TradeZone,MANUAL,11850,67.166667,2,5907,597.311
5373,MERCEDES-BENZ,GLA,GREY,SUV,Petrol,MERCEDES-BENZGLA6 Years OldPETROL,MERCEDES-BENZGLA6 Years Old,MERCEDES-BENZGLA,AMG LINE,18/05/2018,TradeZone,SEMI-AUTO,14300,76.966667,2,43926,587.381
8945,VOLKSWAGEN,BEETLE,BLACK,Hatchback,Petrol,VOLKSWAGENBEETLE6 Years OldPETROL,VOLKSWAGENBEETLE6 Years Old,VOLKSWAGENBEETLE,DUNE,23/08/2018,PARTEX,MANUAL,9475,74.566667,2,64404,1046.61
4289,AUDI,A6,GREY,Saloon,Diesel,AUDIA67 Years OldDIESEL,AUDIA67 Years Old,AUDIA6,S LINE,23/05/2017,PARTEX,SEMI-AUTO,9800,89.733333,2,71095,353.39
7350,AUDI,A4,GREY,Saloon,Diesel,AUDIA44 Years OldDIESEL,AUDIA44 Years Old,AUDIA4,SPORT,31/03/2020,TradeZone,SEMI-AUTO,17100,50.466667,1,39346,489.12499999999994
9326,CITROEN,C4,BROWN,Hatchback,Petrol,CITROENC43 Years OldPETROL,CITROENC43 Years Old,CITROENC4,SHINE PLUS,31/03/2021,TradeZone,SEMI-AUTO,12050,37.966667,1,40395,782.3389999999999
1653,CITROEN,GRAND C4 SPACETOURER,BLUE,MPV,Diesel,CITROENGRAND C4 SPACETOURER4 Years OldDIESEL,CITROENGRAND C4 SPACETOURER4 Years Old,CITROENGRAND C4 SPACETOURER,SHINE,22/01/2021,OTHER,SEMI-AUTO,15200,50.4,2,42210,506.13
5673,SUZUKI,VITARA,BLACK,SUV,Petrol,SUZUKIVITARA3 Years OldPETROL,SUZUKIVITARA3 Years Old,SUZUKIVITARA,SZ4,30/09/2020,TradeZone,MANUAL,10350,44.766667,1,36551,863.97
