V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
7107,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE,21/10/2021,TradeZone,MANUAL,9425,36.6,1,22430,550.66
971,CITROEN,C3,RED,Hatchback,Petrol,CITROENC32 Years OldPETROL,CITROENC32 Years Old,CITROENC3,SHINE PLUS,19/10/2022,PARTEX,SEMI-AUTO,13600,22.733333,2,13539,827.164
710,VOLKSWAGEN,TIGUAN,GREY,SUV,Diesel,VOLKSWAGENTIGUAN1 Years OldDIESEL,VOLKSWAGENTIGUAN1 Years Old,VOLKSWAGENTIGUAN,LIFE,31/10/2022,TradeZone,SEMI-AUTO,24950,20.6,1,8320,276.46
7420,MG,ZS EV,WHITE,SUV,Electric,MGZS EV3 Years OldELECTRIC,MGZS EV3 Years Old,MGZS EV,EXCLUSIVE,01/11/2021,PARTEX,AUTO,11550,35.166667,2,19616,733.09
6129,VOLKSWAGEN,T-ROC,BLUE,SUV,Petrol,VOLKSWAGENT-ROC6 Years OldPETROL,VOLKSWAGENT-ROC6 Years Old,VOLKSWAGENT-ROC,SEL,18/05/2018,TradeZone,MANUAL,15950,76.9,1,20955,710.1899999999999
1140,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,SE PREMIUM,30/06/2020,TradeZone,MANUAL,9575,51.1,1,16580,486.91999999999996
2562,VOLKSWAGEN,PASSAT,GREY,Estate,Hybrid,VOLKSWAGENPASSAT3 Years OldPETROLPLUGINELECTRICHYBRID,VOLKSWAGENPASSAT3 Years Old,VOLKSWAGENPASSAT,GTE,17/05/2021,TradeZone,SEMI-AUTO,16750,43.666667,1,43654,752.78
8056,VAUXHALL,CORSA-E,GREY,Hatchback,Electric,VAUXHALLCORSA-E2 Years OldELECTRIC,VAUXHALLCORSA-E2 Years Old,VAUXHALLCORSA-E,ELITE PREMIUM,17/05/2022,TradeZone,AUTO,13050,25.533333,1,1586,347.81
5871,VOLKSWAGEN,PASSAT,SILVER,Saloon,Diesel,VOLKSWAGENPASSAT5 Years OldDIESEL,VOLKSWAGENPASSAT5 Years Old,VOLKSWAGENPASSAT,SE BUSINESS,10/12/2018,TradeZone,SEMI-AUTO,10150,68.866667,1,50558,1323.78
7606,VAUXHALL,CORSA,GREY,Hatchback,Petrol,VAUXHALLCORSA7 Years OldPETROL,VAUXHALLCORSA7 Years Old,VAUXHALLCORSA,ENERGY,12/01/2018,PARTEX,MANUAL,3475,85.233333,3,76315,857.41
